Id,TenantId,CreationDate,TenantName,DepartmentName,DepartmentAddress,DepartmentContactPerson,DepartmentContactEmail,IsActive
73,1,02/01/2024 15:26:42,,test flow,cairo,moahnd,mohand@test.com,True
72,2,01/31/2024 13:55:46,,xxxxxxxxxxxxxxxxxx,string,string,user@example.com,True
71,2,01/31/2024 13:55:42,,us4@gmail.com,dAddress,010000000000,user@exampledd.com,True
70,2,01/31/2024 13:55:37,,us3@gmail.com,dAddress,010000000000,user@exampledd.com,True
69,2,01/31/2024 13:55:29,,us2@gmail.com,dAddress,010000000000,user@exampledd.com,True
68,2,01/31/2024 13:55:24,,us1@gmail.com,dAddress,010000000000,user@exampledd.com,True
67,2,01/31/2024 13:55:21,,us@gmail.com,dAddress,010000000000,user@exampledd.com,True
66,1,01/31/2024 13:55:13,,egypt5@gmail.com,dAddress,010000000000,user@exampledd.com,True
65,1,01/31/2024 13:55:08,,egypt4@gmail.com,dAddress,010000000000,user@exampledd.com,True
64,1,01/31/2024 13:55:04,,egypt3@gmail.com,dAddress,010000000000,user@exampledd.com,True
63,1,01/31/2024 13:54:59,,egypt2@gmail.com,dAddress,010000000000,user@exampledd.com,True
62,1,01/31/2024 13:53:45,,egypt1@gmail.com,dAddress,010000000000,user@exampledd.com,True
61,21000001,01/31/2024 13:46:12,,ashraf1@gmail.com,dAddress,010000000000,user@exampledd.com,True
60,2,01/31/2024 13:43:54,,ashraf1@gmail.com,dAddress,010000000000,user@exampledd.com,True
59,1000000,01/31/2024 13:43:43,,ashraf1@gmail.com,dAddress,010000000000,user@exampledd.com,True
58,7,01/31/2024 13:43:39,,ashraf1@gmail.com,dAddress,010000000000,user@exampledd.com,True
57,7,01/31/2024 13:37:20,,ashraf1@gmail.com,dAddress,010000000000,user@exampledd.com,True
56,7,01/31/2024 13:36:19,,ashraf@gmail.com,dAddress,010000000000,user@exampledd.com,True
55,7,01/31/2024 13:35:53,,ashraf@gmail.com,dAddress,010000000000,user@exampledd.com,True
54,6,01/31/2024 13:35:49,,ashraf@gmail.com,dAddress,010000000000,user@exampledd.com,True
53,4,01/31/2024 13:35:44,,ashraf@gmail.com,dAddress,010000000000,user@exampledd.com,True
52,3,01/31/2024 13:35:37,,ashraf@gmail.com,dAddress,010000000000,user@exampledd.com,True
50,1,01/31/2024 13:32:58,,ashraf@gmail.com,dAddress,010000000000,user@exampledd.com,True
49,1,01/31/2024 13:32:55,,ashraf@gmail.com,dAddress,010000000000,user@exampledd.com,True
48,1,01/31/2024 13:31:59,,ashraf@gmail.com,ashraf@gmail.com,ashraf@gmail.com,ashraf@gmail.com,True
47,1,01/31/2024 13:31:58,,ashraf@gmail.com,ashraf@gmail.com,ashraf@gmail.com,ashraf@gmail.com,True
46,1,01/31/2024 13:31:57,,ashraf@gmail.com,ashraf@gmail.com,ashraf@gmail.com,ashraf@gmail.com,True
45,1,01/31/2024 13:31:48,,ashraf@gmail.com	,ashraf@gmail.com	,ashraf@gmail.com	,ashraf@gmail.com,True
44,1,01/31/2024 13:31:46,,ashraf@gmail.com	,ashraf@gmail.com	,ashraf@gmail.com	,ashraf@gmail.com,True
43,1,01/31/2024 13:31:45,,ashraf@gmail.com	,ashraf@gmail.com	,ashraf@gmail.com	,ashraf@gmail.com,True
42,1,01/31/2024 13:31:43,,ashraf@gmail.com	,ashraf@gmail.com	,ashraf@gmail.com	,ashraf@gmail.com,True
41,1,01/31/2024 13:31:07,,ashraf@gmail.com	,ashraf@gmail.com	,ashraf@gmail.com	,ashraf@gmail.com,True
40,1,01/31/2024 12:15:20,,ashraf@gmail.com,ashraf@gmail.com,ashraf@gmail.com,ashraf@gmail.com,True
39,1,01/31/2024 12:15:09,,ashraf@gmail.com,ashraf@gmail.com,ashraf@gmail.com,ashraf@gmail.com,True
38,1,01/31/2024 12:15:09,,ashraf@gmail.com,ashraf@gmail.com,ashraf@gmail.com,ashraf@gmail.com,True
37,1,01/31/2024 12:12:23,,ashraf@gmail.com,ashraf@gmail.com,1234567,ashraf@gmail.com,True
36,1,01/31/2024 12:12:12,,ashraf@gmail.com,ashraf@gmail.com,1234567,ashraf@gmail.com,True
35,1,01/30/2024 11:30:58,,ddff,ddffgg,0100000,use33r@exam44ple.com,True
34,0,01/30/2024 10:49:30,,ssdddff,ss ddd ff,0100000000000,user45@example121.com,True
33,0,01/30/2024 10:47:24,,t,t,t,t@t,True
32,1,01/30/2024 10:42:00,,t,t,t,t@t,True
31,1,01/30/2024 10:41:40,,t,t,t,t@t,True
30,1,01/30/2024 10:38:42,,t,t,t,t@t,True
29,1,01/30/2024 10:30:49,,t,t,t,t@t,True
28,1,01/30/2024 10:30:34,,t,t,t,t@t,True
27,1,01/30/2024 10:30:20,,t,t,t,t@t,True
19,,01/21/2024 15:02:14,,Hello Mohand,cairo,hanoda,hanoda@test.com,False
18,,01/21/2024 14:48:34,,test department12,cairo,mohand,mohand@test.com,False
17,2,01/18/2024 17:00:19,,mohand departement,alex,mohand abdalrahman,mohand3@test.com,False
16,2,01/18/2024 16:48:45,,test department,cairo,mohand,mohand1@test.com,True
15,2,01/18/2024 16:29:56,,fsfddsf,sdfsdfs,fsdfsdf,mohand@test.com,False
14,2,01/18/2024 12:04:42,,10,string,string,user@example.com,True
13,2,01/18/2024 12:04:38,,9,string,string,user@example.com,True
12,2,01/18/2024 12:04:28,,8,string,string,user@example.com,True
11,2,01/18/2024 12:04:21,,7,string,string,user@example.com,True
10,2,01/18/2024 12:04:17,,6,string,string,user@example.com,True
6,1,01/18/2024 12:04:04,,2,string,string,user@example.com,True
5,1,01/18/2024 12:03:58,,1,string,string,user@example.com,True
4,1,01/16/2024 09:40:52,,new1,DownTown,string,user@example4.com,True
3,1,12/13/2023 17:25:03,,sddsds333,ssss,sssstring,user3@example.com,False
2,1,12/13/2023 17:24:41,,seconddddddd,,,user2@example.com,False
1,1,12/13/2023 14:16:50,,first,aaaaa,0100000,user@example.com,True
